Uniprot Accession,Description,Gene,Molecular weight (Da),Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,117749.3328,7.380084280188804e-05,6.828064167171231e-06,1.1210254602818438e-05,2.5138146685108015e-05,4.152889773316831e-05,3.702781065779423e-05,4.7388803548277946e-05,3.065834781528375e-05,4.985166251404866e-05,3.108297867145113e-05,2.3439623260438553e-05,1.8513905328897116e-05,2.0127502582333104e-05,1.9023462356297956e-05,3.736751534272813e-05,5.970309837713153e-05,4.832299143184614e-05,4.458623989757334e-05,4.229323327426956e-05,2.7770857993345676e-05,4.331234732907124e-05,6.140162180180098e-05
P09373,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,pflB,85284.7241,7.668430740693456e-05,0.00011596449545177107,0.00010717042350143454,9.368617984425185e-05,9.02858053567884e-05,0.00010259750608725954,9.732106291705762e-05,0.00010892923789150185,0.00011103981515958262,9.96661487704807e-05,9.052031394213071e-05,8.102271623576724e-05,5.9096163506261486e-05,6.026870643297303e-05,7.867763038234418e-05,9.462421418562108e-05,0.00013601497949853835,9.96661487704807e-05,0.00011666802120779797,9.591401140500376e-05,0.00011021903511088453,0.00012663463608484607
P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,69054.47444,0.00030845213395269737,0.0009919704777352006,0.000641522513338239,0.0002360455297384492,0.0002794894922669981,0.00028962641685699285,0.00029397081310984774,0.00022011607681131457,0.00025776751100272364,0.00022011607681131457,0.0001737758501141957,0.00015929452927134608,0.0005662196449554212,0.0005604271166182812,0.0003432073039755366,0.0007472361554910416,0.0005662196449554212,0.0003070040018684125,0.00030121147353127264,0.0001824646426199055,0.00032727785104840195,0.00031134839812126737
P0A705,Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1,infB,79678.11829,5.0578503690715116e-05,0.00011270346479965799,7.266737875167259e-05,3.175275790012636e-05,4.2044165598981555e-05,4.442876006578946e-05,4.693885950453462e-05,4.4177750121914935e-05,6.350551580025273e-05,4.831941419584446e-05,3.8655531356675566e-05,3.3760837451122495e-05,1.995529053802408e-05,2.346942975226731e-05,3.790250152505202e-05,6.651763512674693e-05,4.518178989741301e-05,5.082951363458964e-05,4.618582967291107e-05,3.0372203208816517e-05,4.229517554285606e-05,5.873632686663692e-05
P05793,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,ilvC,54016.26705,0.000553536955308725,5.683473086280219e-05,3.4434071467365496e-05,0.0002591811830876973,0.0003313816555192701,0.0003480433030034792,0.00048318777704206426,0.00023326306477892755,0.00044616189374382183,0.0002962070663859398,0.00019253459315086088,0.00011292894405963953,0.00031286871387014887,0.000285099301396467,0.0006923840176771343,0.0005646447202981976,0.00032767906718944584,0.00048689036537188853,0.0003961769512911945,0.00022585788811927906,0.0004109873046104914,0.0005942654269367917
P00864,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,98982.23464,6.031385350828851e-05,2.131695660008187e-05,2.4751916431374683e-05,2.2428267133735426e-05,2.4145747049381828e-05,5.455524437935645e-05,3.626913468923882e-05,2.545911404369967e-05,7.12249023841598e-05,4.7685324716770814e-05,3.535988061624954e-05,2.778276334133893e-05,2.1822097751742575e-05,2.7075565729013935e-05,5.011000224474222e-05,6.092002289028136e-05,9.375419774822736e-05,5.940459943529923e-05,4.3947280194481574e-05,2.7580706880674648e-05,2.4549859970710398e-05,8.516679816999533e-05
P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,95954.64438,3.2306930217190594e-05,5.408805413781264e-05,4.106106614700999e-05,1.8863078610682253e-05,2.511603284626753e-05,2.772143044442806e-05,2.8346725867986593e-05,3.0639475754367856e-05,2.8659373579765855e-05,2.3865441999150475e-05,1.9801021746020043e-05,1.7195624147859512e-05,1.802935137927088e-05,1.8967294514608674e-05,2.8450941771913015e-05,4.939833846112369e-05,3.741350950958524e-05,3.970625939596651e-05,2.9493100811177223e-05,2.10516125931371e-05,3.0222612138662167e-05,4.335381603339125e-05
P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,77514.47523,0.0006476209746766288,0.0014319906013766095,0.001008843829077936,0.00035477244628699786,0.00048120044532745535,0.0005186128123904478,0.0005186128123904478,0.0004760401188360081,0.0004076657928243321,0.00033155097707548525,0.00025672624294950023,0.00021415354939506053,0.0002218940391322314,0.0002064130596578897,0.0004902310166874879,0.000585697056779262,0.0004953913431789351,0.0005805367302878147,0.0004541087312473573,0.000340581548435518,0.0005431243632248222,0.0006334300768251489
P00961,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,glyS,76746.96578,4.8340673306029435e-05,0.00010788700134068023,6.866720979050543e-05,3.2574577699480745e-05,4.1695459455335356e-05,4.2086354387729127e-05,4.4562022292889666e-05,4.469232060368759e-05,4.4562022292889666e-05,3.6092632091024676e-05,2.8144435132351368e-05,2.6971750335170058e-05,2.1108326349263526e-05,2.540817060559498e-05,4.4562022292889666e-05,6.045841621023627e-05,4.521351384687928e-05,5.485558884592558e-05,4.6386198644060584e-05,3.283517432107659e-05,4.065307296895198e-05,5.433439560273389e-05
P76558,NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1,maeB,82346.78295,7.784153515617092e-06,4.104592649420557e-05,2.8052097692785463e-05,2.5016156384042444e-05,2.2223090379998875e-05,2.1737339770599987e-05,1.8822836114206693e-05,2.0887276204151945e-05,4.699637145934188e-05,5.027518807278433e-05,4.748212206874076e-05,4.638918319759328e-05,8.694935908239996e-06,9.569287005157985e-06,9.07139263052413e-06,1.2993828801420105e-05,9.01067380434927e-06,1.602977011016312e-05,2.6473408212239092e-05,1.6394083067212284e-05,2.4166092817594406e-05,2.0644400899452508e-05
P0AG67,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,rpsA,61102.7043,0.0003944178948557601,0.0010768754141704986,0.0005564401836139354,0.00017838817651152637,0.00028149326935763793,0.00026840055915495706,0.00033877387649436656,0.00024057854997426028,0.00030276892343699427,0.0002013004193662178,0.00016529546630884552,0.00014385615335195566,0.00014794762529029342,0.00013714613937308172,0.00025530784895227624,0.0004026008387324356,0.00029294939078498367,0.00033713728771903154,0.0002880396244589783,0.00018820770916353694,0.00029622256833565383,0.0004206033152611217
P07813,Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2,leuS,97153.28428,3.067317818522233e-05,4.4671675612035216e-05,3.952516920511871e-05,1.9968444858836016e-05,2.4806160881337528e-05,2.4188580112507544e-05,2.5012021137614185e-05,2.182118716532596e-05,2.6967693572242452e-05,2.2747558318570925e-05,1.9762584602559356e-05,1.7703982039792757e-05,1.4719008323781186e-05,1.5027798708196177e-05,2.2232907677879276e-05,3.49962435670322e-05,2.964387690383903e-05,2.7996994853625757e-05,2.2747558318570925e-05,1.821863268048441e-05,2.4394440368784204e-05,2.984973716011569e-05
P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,thrA,89045.79557,9.467038781604317e-05,3.5824263005121914e-05,2.942306240546063e-05,3.5038150650777544e-05,5.682469304260718e-05,8.658466074278683e-05,7.771282131518609e-05,0.0001695756650085708,0.0001313930649404158,5.435405421466772e-05,3.3915133001714164e-05,2.436948298467541e-05,4.267467066440855e-05,4.649293067122405e-05,0.00010657437489611503,7.490527719252764e-05,8.770767839185022e-05,0.00015497643557074682,7.288384542421355e-05,3.447664182624585e-05,6.33381954071748e-05,0.00016059152381606373
P0AFG3,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,sucA,104977.5259,2.8291769829183982e-05,0.00010097399332974755,7.420635924893712e-05,6.963395200381647e-05,4.372364428146616e-05,5.5249920878541105e-05,4.5724072451206436e-05,6.963395200381647e-05,6.048913751357518e-05,4.6771915778213255e-05,3.857968613070544e-05,3.572193160250503e-05,2.0671091087316247e-05,1.7051268684929066e-05,2.953013012473749e-05,3.23878846529379e-05,3.981804642625894e-05,5.324949270880084e-05,5.020122121205374e-05,2.7053409533630474e-05,5.677405662691465e-05,5.744086601682809e-05
P00956,Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ileS,104212.5396,3.5984153292815446e-05,4.788291331497309e-05,3.9054801040469025e-05,2.2358153912602666e-05,2.7539871986768085e-05,2.6964125534083042e-05,3.0130731023850802e-05,3.185797038190594e-05,2.7347956502539738e-05,2.2646027138945188e-05,1.7848140033236464e-05,1.4681534543468705e-05,1.5353238738267925e-05,1.592898519095297e-05,3.4640744903217e-05,4.893844847822901e-05,3.358520973996109e-05,4.078204039852417e-05,2.6964125534083042e-05,2.2550069396831014e-05,2.6004548112941296e-05,3.358520973996109e-05
P25553,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,aldA,52221.71682,5.8213329341093845e-05,0.00018651244334942567,0.0001807677069012914,0.00028532191025733495,0.0004787280373445218,0.00028532191025733495,0.00027191752521168837,0.0004538341794026066,0.0003159605046473843,0.0005151113681827054,0.000593622766307207,0.0006089420635022318,3.102157681992501e-05,3.102157681992501e-05,2.987262953029816e-05,2.795771738092007e-05,3.102157681992501e-05,9.957543176766055e-05,0.0005074517195851931,0.00047489821304576556,0.00045000435510385046,0.00015759726989381657
P10408,Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2,secA,101940.9335,1.1771522574884012e-05,2.98211905230395e-05,1.854014805544232e-05,7.484726437197086e-06,1.1084850424682446e-05,1.2262002682170846e-05,1.030008225302351e-05,1.3144866875287148e-05,1.5499171390263952e-05,1.3831539025488715e-05,1.2556290746542947e-05,1.245819472508558e-05,5.414900384446646e-06,5.679759642381536e-06,7.337582405011036e-06,1.1084850424682446e-05,9.171978006263793e-06,1.098675440322508e-05,1.1771522574884012e-05,7.337582405011036e-06,1.030008225302351e-05,1.2752482789457683e-05
P21889,Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,aspS,65853.62132,3.765928054205296e-05,7.228152233071455e-05,4.206298673447045e-05,2.5055569715478786e-05,2.809260846887015e-05,2.900372009488756e-05,3.0522239471583246e-05,2.6725941029844033e-05,3.8722244105739934e-05,3.2040758848278924e-05,2.520742165314835e-05,2.460001390247008e-05,2.080371546073087e-05,2.080371546073087e-05,3.325557434963547e-05,3.173705497293979e-05,4.206298673447045e-05,4.555558130087051e-05,3.371113016264418e-05,2.3233346463443966e-05,3.26481665989572e-05,4.297409836048785e-05
P07395,Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,pheT,87305.38731,8.338546135933751e-05,0.00012828532516821157,0.00010068107216326604,4.673251131127706e-05,6.620439102430918e-05,7.330590009612088e-05,7.754389744542787e-05,7.846022119662939e-05,0.00010549177185707398,9.36941035603545e-05,9.57558320005579e-05,8.55617302684411e-05,2.852057675614703e-05,3.161316941645214e-05,5.394856085198895e-05,7.994924729233182e-05,6.998422649801541e-05,7.170233353151824e-05,7.880384260332995e-05,6.425720305300597e-05,7.021330743581578e-05,9.850480325416243e-05
P07118,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,108105.6884,2.858313975640897e-05,5.161615528827251e-05,3.552079503709076e-05,1.3782808490954486e-05,1.7020380955272654e-05,1.7297887166499925e-05,1.8500414081818106e-05,1.7297887166499925e-05,2.1552982405318092e-05,1.6095360251181748e-05,1.2487779505227221e-05,1.0822742237863593e-05,8.436188821309054e-06,8.334436543859057e-06,1.6002858180772658e-05,3.172821015031805e-05,1.8777920293045376e-05,2.3033015531863537e-05,1.970294099713628e-05,1.2580281575636312e-05,1.7482891307318106e-05,2.3310521743090807e-05
P23847,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,dppA,60237.23952,8.200907012612718e-05,4.117054532647681e-05,0.0002523356003880836,0.00013563038520859495,0.0002207936503395732,0.0001437648881158424,0.00016368611972542794,0.00019423200819345911,0.00016767036604734508,0.00019921231609585548,0.00017763098185213786,0.00015488757576452767,7.18824440579212e-05,7.819083406762327e-05,0.0001284919438818268,8.566129592121789e-05,0.00010574853779421665,0.00012782790282817394,0.00017431077658387357,0.00013280821073057036,0.00018427139238866636,0.00012384365650625683
P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,66036.77654,0.0001503707558164225,0.00037100538947657116,0.00016808815604856897,5.920943154503646e-05,0.00010630440139287874,9.464423200932938e-05,9.37356473820398e-05,0.00036343385091582476,0.00011735884769156843,0.00010463866290951455,8.540695496521883e-05,9.31299242971801e-05,0.000132804786355491,0.0001470392788496941,0.00017868831003361386,0.00015900230977567337,0.0002180603105494949,0.00022563184911024125,0.00011311878609755047,8.116689337120087e-05,0.00011448166303848481,0.0001862598485943602
P13029,Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2,katG,79956.11435,3.6520033817776436e-05,3.6770171035706406e-05,3.151728945917692e-05,4.452442479153565e-05,5.352936463701477e-05,9.180035898030103e-05,5.277895298322485e-05,6.078334395698407e-05,5.478005072666465e-05,6.816239188591836e-05,7.59166456417476e-05,8.317062496171689e-05,8.054418417345215e-06,7.216458737279796e-06,2.5639064837822495e-05,6.190896143766896e-05,3.526934772812656e-05,3.626989659984645e-05,6.478553944386367e-05,6.55359510976536e-05,5.4029639072874725e-05,4.865168888738025e-05
P0AES4,DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1,gyrA,96885.40294,1.2488981449035608e-05,3.106763153851007e-05,1.816579119859725e-05,7.947533649386296e-06,9.619612157439e-06,1.290184033991282e-05,1.1766478390000491e-05,1.007375693740393e-05,1.9197938425790278e-05,1.403720228982515e-05,1.21793372808777e-05,1.0527901717368861e-05,6.657349615395016e-06,6.45092016995641e-06,8.401678429351227e-06,1.4140417012544452e-05,1.1147190053684677e-05,1.1766478390000491e-05,1.2076122558158401e-05,6.7295999212985265e-06,1.0527901717368861e-05,1.4862920071579567e-05
P08200,Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1,icd,45709.46787,0.0005600590248131454,0.0003237841237200997,0.0005709976776415272,0.0004988025689742076,0.0004922393772771786,0.0005272430663280002,0.00040910561578147734,0.000588499522166938,0.0005075534912369129,0.00045504795766068066,0.000369726465599303,0.00025377674561845645,0.00022752397883034033,0.0002340871705273694,0.0006213154806520831,0.0004944271078428548,0.0004681743410547388,0.0005359939885907055,0.000557871294247469,0.0003609755433365976,0.00046598661048906235,0.0003937915018217428
P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,50275.81931,0.0004017836064579492,0.0007041158251787822,0.0008095342961801253,0.0002665297191354713,0.00039382749543897985,0.00041769582849588777,0.0004395751337980533,0.0005072020774592922,0.00039979457870320686,0.00033216763504196787,0.00024266138607856335,0.00018060372013060293,0.00011695483197884856,0.00011556251255052893,0.0002307272195501094,0.0002784638856639252,0.0002187930530216555,0.00039382749543897985,0.0004037726342126915,0.00024067235832382104,0.00042962999502434173,0.00039780555094846447
P04825,Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,pepN,98838.72264,2.155025827031469e-05,4.158289271877623e-05,3.2274799944743594e-05,2.0133809369918422e-05,2.3978456385279726e-05,2.1651433191771567e-05,2.357375669945222e-05,2.205613287759907e-05,2.2562007484883456e-05,2.2663182406340334e-05,2.1347908427400937e-05,1.7199736647669004e-05,1.0026434716376459e-05,1.123041628171329e-05,1.750326141203963e-05,2.387728146382285e-05,2.2663182406340334e-05,2.3472581777995345e-05,2.36749316209091e-05,1.6289162354557115e-05,2.19549579561422e-05,2.4484330992564105e-05
P0AD61,Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1,pykF,50679.24536,0.00014779225591846895,0.00017166790740863548,0.00015371183893255982,7.399478767613598e-05,7.991437069022688e-05,0.00011641846594378728,0.00011799702141421152,5.66306775014694e-05,0.00011799702141421152,8.543931483671168e-05,7.458674597754507e-05,8.721518974093895e-05,0.00010655249425363584,9.747580029869646e-05,9.846239746771161e-05,0.00014937081138889318,0.00016061801911566582,0.00016890543533539307,0.00010083023067334797,0.00010181682784236313,8.228220389586322e-05,0.00019633283663401412
P0A9G6,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,aceA,47473.57659,0.0004676285545478848,0.0002527721916475053,0.00042760629087036314,0.004023290717056126,0.0023170784234354653,0.001459759406764343,0.0012449030438639638,0.0008088710132720169,0.0018178533449316426,0.0030543306490740225,0.003328167190025487,0.0036230680802809096,0.0003180716744897775,0.000309645934768194,0.0007225071811257861,0.001013195201520417,0.00039390333198402916,0.00046552211961748893,0.0023170784234354653,0.003243909792809652,0.002017964663319251,0.0005539923866941159
P0AC33,"Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2",fumA,60242.56175,2.2409405589396275e-05,0.00010358125250209833,8.565372803058132e-05,7.934589534615864e-05,6.905416833473221e-05,4.664476274533594e-05,4.1830890433539705e-05,5.461255139934351e-05,7.818392616744919e-05,6.191635766551711e-05,3.884296968828688e-05,2.55633219316076e-05,2.987920745252836e-06,2.954721625861138e-06,1.2914457443370593e-05,1.077311424260606e-05,2.0251462828935892e-05,3.5689053346075546e-05,7.204208907998506e-05,3.46930797643246e-05,7.337005385565298e-05,4.5648789163585006e-05
P09546,Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3,putA,143707.3978,2.129326706102252e-06,2.512048826480107e-05,1.4473854734289814e-05,1.948403521923629e-06,2.04582369801981e-06,2.8599780268236123e-06,2.2337054662053034e-06,1.99015502596485e-06,2.8043093547686517e-06,2.498131658466367e-06,1.7883560897656167e-06,1.5795985695595136e-06,1.7674803377450063e-06,1.8857762658617982e-06,2.5885932505556786e-06,1.871859097848058e-06,2.9643567869266643e-06,2.7416820987068206e-06,1.8857762658617982e-06,1.280379457264099e-06,1.892734849868668e-06,2.261539802232784e-06
P21179,Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1,katE,84092.42396,1.962126815115772e-05,1.2605178327410414e-05,1.022684279393675e-05,3.424803168202074e-05,4.0312787292378584e-05,3.0204861275115518e-05,3.091836193515762e-05,1.9145601044462987e-05,2.6637357974905025e-05,3.8410118865599655e-05,4.613970934938906e-05,5.2204464959746896e-05,1.0084142661928329e-05,1.000090091825675e-05,1.9978018481178767e-05,1.0238734471604118e-05,3.3772364575326005e-05,1.4626763530863025e-05,2.9729194168420782e-05,5.529630115326266e-05,3.508044911873652e-05,1.866993393776825e-05
P0A6Z3,Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1,htpG,71360.33894,3.475319816074854e-05,0.000134808776736452,8.001643608785246e-05,2.214115044112205e-05,3.223078861682324e-05,3.237092248037464e-05,3.279132407102887e-05,2.578463089345859e-05,3.223078861682324e-05,2.7886638846729674e-05,2.2281284304673458e-05,1.8777937715888323e-05,3.1389985435514805e-05,3.2511056343926054e-05,3.096958384486059e-05,0.00011925391788224598,4.344149770093567e-05,3.741574156822524e-05,3.2931457934580264e-05,1.9338473170093944e-05,3.503346588785134e-05,3.433279657009432e-05
P0A6P1,Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2,tsf,30385.76806,0.000329101439208445,0.000737187223826917,0.00059896461935937,0.0001329569814402118,0.0002060175009444866,0.00026097744129229694,0.0002511043981160436,0.0002109540225326133,0.0001790311829293941,0.00012736225697366823,0.00010399605478986863,8.754098282944639e-05,0.00018429680595672925,0.00017113274838839143,0.00035213853995303627,0.0003007987154365188,0.00035872056873720515,0.0002856600492329303,0.00019548625488981634,0.00013756440158913002,0.00020470109518765282,0.00029421668665234986
P08839,Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1,ptsI,63503.89517,0.00016849360139808888,8.629391922070346e-05,7.30663841576759e-05,4.4091783543425125e-05,5.4012434840695777e-05,0.00010739498705934262,6.834226449230895e-05,5.102049238596335e-05,0.00011542599049046647,8.456174201006889e-05,6.708249924821107e-05,5.605955336235479e-05,5.086302173045112e-05,5.8736554506062745e-05,9.180539216363158e-05,0.00011589840245700316,0.00010188351411641448,7.9207739722653e-05,8.89709203644114e-05,7.401120809074931e-05,5.6846906639915945e-05,0.00015384883043545125
