Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (synonym)	EC number
P00722	reviewed	BGAL_ECOLI	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024		b0344 JW0335	lacZ		3.2.1.23
P00803	reviewed	LEP_ECOLI	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	lepB b2568 JW2552	Escherichia coli (strain K12)	324		b2568 JW2552	lepB		3.4.21.89
P00804	reviewed	LSPA_ECOLI	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	lspA lsp b0027 JW0025	Escherichia coli (strain K12)	164		b0027 JW0025	lspA	lsp	3.4.23.36
P00805	reviewed	ASPG2_ECOLI	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	ansB b2957 JW2924	Escherichia coli (strain K12)	348		b2957 JW2924	ansB		3.5.1.1
P00811	reviewed	AMPC_ECOLI	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	ampC ampA b4150 JW4111	Escherichia coli (strain K12)	377		b4150 JW4111	ampC	ampA	3.5.2.6
P00861	reviewed	DCDA_ECOLI	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA b2838 JW2806	Escherichia coli (strain K12)	420		b2838 JW2806	lysA		4.1.1.20
P00864	reviewed	CAPP_ECOLI	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	Escherichia coli (strain K12)	883		b3956 JW3928	ppc	glu	4.1.1.31
P00893	reviewed	ILVI_ECOLI	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574		b0077 JW0076	ilvI		2.2.1.6
P00894	reviewed	ILVH_ECOLI	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	ilvH brnP b0078 JW0077	Escherichia coli (strain K12)	163		b0078 JW0077	ilvH	brnP	2.2.1.6
P00903	reviewed	PABA_ECOLI	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA b3360 JW3323	Escherichia coli (strain K12)	187		b3360 JW3323	pabA		2.6.1.85
P00904	reviewed	TRPGD_ECOLI	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	trpGD trpD b1263 JW1255	Escherichia coli (strain K12)	531		b1263 JW1255	trpGD	trpD	2.4.2.18; 4.1.3.27
P00914	reviewed	PHR_ECOLI	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	phrB phr b0708 JW0698	Escherichia coli (strain K12)	472		b0708 JW0698	phrB	phr	4.1.99.3
P00926	reviewed	SDHD_ECOLI	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	dsdA b2366 JW2363	Escherichia coli (strain K12)	442		b2366 JW2363	dsdA		4.3.1.18
P00935	reviewed	METB_ECOLI	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	metB b3939 JW3910	Escherichia coli (strain K12)	386		b3939 JW3910	metB		2.5.1.48
P00936	reviewed	CYAA_ECOLI	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	cyaA cya b3806 JW3778	Escherichia coli (strain K12)	848		b3806 JW3778	cyaA	cya	4.6.1.1
P00946	reviewed	MANA_ECOLI	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	manA pmi b1613 JW1605	Escherichia coli (strain K12)	391		b1613 JW1605	manA	pmi	5.3.1.8
P00956	reviewed	SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024	Escherichia coli (strain K12)	938		b0026 JW0024	ileS	ilvS	6.1.1.5
P00957	reviewed	SYA_ECOLI	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	alaS lovB b2697 JW2667	Escherichia coli (strain K12)	876		b2697 JW2667	alaS	lovB	6.-.-.-; 6.1.1.7
P00959	reviewed	SYM_ECOLI	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101	Escherichia coli (strain K12)	677		b2114 JW2101	metG		6.1.1.10
P00962	reviewed	SYQ_ECOLI	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS b0680 JW0666	Escherichia coli (strain K12)	554		b0680 JW0666	glnS		6.1.1.18
P00963	reviewed	ASNA_ECOLI	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	330		b3744 JW3722	asnA		6.3.1.1
P00968	reviewed	CARB_ECOLI	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073		b0033 JW0031	carB	pyrA	6.3.4.16; 6.3.5.5
P02358	reviewed	RS6_ECOLI	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	rpsF b4200 JW4158	Escherichia coli (strain K12)	135		b4200 JW4158	rpsF		
P02359	reviewed	RS7_ECOLI	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG b3341 JW3303	Escherichia coli (strain K12)	179		b3341 JW3303	rpsG		
P02916	reviewed	MALF_ECOLI	Maltose/maltodextrin transport system permease protein MalF	malF b4033 JW3993	Escherichia coli (strain K12)	514		b4033 JW3993	malF		
P02918	reviewed	PBPA_ECOLI	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA b3396 JW3359	Escherichia coli (strain K12)	850		b3396 JW3359	mrcA	ponA	2.4.99.28; 3.4.16.4
P02919	reviewed	PBPB_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB pbpF ponB b0149 JW0145	Escherichia coli (strain K12)	844		b0149 JW0145	mrcB	pbpF ponB	2.4.99.28; 3.4.16.4
P02920	reviewed	LACY_ECOLI	Lactose permease (Lactose-proton symport)	lacY b0343 JW0334	Escherichia coli (strain K12)	417		b0343 JW0334	lacY		
P02921	reviewed	MELB_ECOLI	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)	melB mel-4 b4120 JW4081	Escherichia coli (strain K12)	473		b4120 JW4081	melB	mel-4	
P02925	reviewed	RBSB_ECOLI	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730	Escherichia coli (strain K12)	296		b3751 JW3730	rbsB	prlB rbsP	
P02929	reviewed	TONB_ECOLI	Protein TonB	tonB exbA b1252 JW5195	Escherichia coli (strain K12)	239		b1252 JW5195	tonB	exbA	
P02930	reviewed	TOLC_ECOLI	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	Escherichia coli (strain K12)	493		b3035 JW5503	tolC	colE1-i mtcB mukA refI toc weeA	
P02931	reviewed	OMPF_ECOLI	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	ompF cmlB coa cry tolF b0929 JW0912	Escherichia coli (strain K12)	362		b0929 JW0912	ompF	cmlB coa cry tolF	
P02942	reviewed	MCP1_ECOLI	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)	tsr cheD b4355 JW4318	Escherichia coli (strain K12)	551		b4355 JW4318	tsr	cheD	
P02943	reviewed	LAMB_ECOLI	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)	lamB malB b4036 JW3996	Escherichia coli (strain K12)	446		b4036 JW3996	lamB	malB	
P03004	reviewed	DNAA_ECOLI	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679	Escherichia coli (strain K12)	467		b3702 JW3679	dnaA		
P03007	reviewed	DPO3E_ECOLI	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ mutD b0215 JW0205	Escherichia coli (strain K12)	243		b0215 JW0205	dnaQ	mutD	2.7.7.7
P03018	reviewed	UVRD_ECOLI	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)	uvrD mutU pdeB rad recL b3813 JW3786	Escherichia coli (strain K12)	720		b3813 JW3786	uvrD	mutU pdeB rad recL	5.6.2.4
P03023	reviewed	LACI_ECOLI	Lactose operon repressor	lacI b0345 JW0336	Escherichia coli (strain K12)	360		b0345 JW0336	lacI		
P03819	reviewed	KEFC_ECOLI	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)	kefC trkC b0047 JW0046	Escherichia coli (strain K12)	620		b0047 JW0046	kefC	trkC	
P03959	reviewed	KDPA_ECOLI	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	kdpA b0698 JW0686	Escherichia coli (strain K12)	557		b0698 JW0686	kdpA		
P03960	reviewed	KDPB_ECOLI	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB b0697 JW0685	Escherichia coli (strain K12)	682		b0697 JW0685	kdpB		7.2.2.6
P03961	reviewed	KDPC_ECOLI	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC b0696 JW0684	Escherichia coli (strain K12)	190		b0696 JW0684	kdpC		
P04036	reviewed	DAPB_ECOLI	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB b0031 JW0029	Escherichia coli (strain K12)	273		b0031 JW0029	dapB		1.17.1.8
P04079	reviewed	GUAA_ECOLI	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	guaA b2507 JW2491	Escherichia coli (strain K12)	525		b2507 JW2491	guaA		6.3.5.2
P04152	reviewed	UMUC_ECOLI	Protein UmuC (DNA polymerase V) (Pol V)	umuC b1184 JW1173	Escherichia coli (strain K12)	422		b1184 JW1173	umuC		
P04391	reviewed	OTC1_ECOLI	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)	argI b4254 JW4211	Escherichia coli (strain K12)	334		b4254 JW4211	argI		2.1.3.3
P04395	reviewed	3MG2_ECOLI	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	alkA aidA b2068 JW2053	Escherichia coli (strain K12)	282		b2068 JW2053	alkA	aidA	3.2.2.21
P04425	reviewed	GSHB_ECOLI	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)	gshB gsh-II b2947 JW2914	Escherichia coli (strain K12)	316		b2947 JW2914	gshB	gsh-II	6.3.2.3
P04693	reviewed	TYRB_ECOLI	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)	tyrB b4054 JW4014	Escherichia coli (strain K12)	397		b4054 JW4014	tyrB		2.6.1.107; 2.6.1.57
P04737	reviewed	PIL1_ECOLI	Pilin (F-pilin)	traA ECOK12F074	Escherichia coli (strain K12)	121		ECOK12F074	traA		
P04805	reviewed	SYE_ECOLI	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX b2400 JW2395	Escherichia coli (strain K12)	471		b2400 JW2395	gltX		6.1.1.17
P04825	reviewed	AMPN_ECOLI	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)	pepN b0932 JW0915	Escherichia coli (strain K12)	870		b0932 JW0915	pepN		3.4.11.2
P04968	reviewed	ILVA_ECOLI	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA b3772 JW3745	Escherichia coli (strain K12)	514		b3772 JW3745	ilvA		4.3.1.19
P04982	reviewed	RBSD_ECOLI	D-ribose pyranase (EC 5.4.99.62)	rbsD b3748 JW5857	Escherichia coli (strain K12)	139		b3748 JW5857	rbsD		5.4.99.62
P04983	reviewed	RBSA_ECOLI	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA b3749 JW3728	Escherichia coli (strain K12)	501		b3749 JW3728	rbsA		7.5.2.7
P04993	reviewed	RECD_ECOLI	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)	recD hopE b2819 JW2787	Escherichia coli (strain K12)	608		b2819 JW2787	recD	hopE	5.6.2.3
P04994	reviewed	EX7L_ECOLI	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (ExoVII large subunit) (Exonuclease VII large subunit)	xseA b2509 JW2493	Escherichia coli (strain K12)	456		b2509 JW2493	xseA		3.1.11.6
P04995	reviewed	EX1_ECOLI	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)	sbcB cpeA xonA b2011 JW1993	Escherichia coli (strain K12)	475		b2011 JW1993	sbcB	cpeA xonA	3.1.11.1
P05020	reviewed	PYRC_ECOLI	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC b1062 JW1049	Escherichia coli (strain K12)	348		b1062 JW1049	pyrC		3.5.2.3
P05041	reviewed	PABB_ECOLI	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	pabB b1812 JW1801	Escherichia coli (strain K12)	453		b1812 JW1801	pabB		2.6.1.85
P05042	reviewed	FUMC_ECOLI	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	fumC b1611 JW1603	Escherichia coli (strain K12)	467		b1611 JW1603	fumC		4.2.1.2
P05050	reviewed	ALKB_ECOLI	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)	alkB aidD b2212 JW2200	Escherichia coli (strain K12)	216		b2212 JW2200	alkB	aidD	1.14.11.33
P05055	reviewed	PNP_ECOLI	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp b3164 JW5851	Escherichia coli (strain K12)	711		b3164 JW5851	pnp		2.7.7.8
P05194	reviewed	AROD_ECOLI	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD b1693 JW1683	Escherichia coli (strain K12)	252		b1693 JW1683	aroD		4.2.1.10
P05458	reviewed	PTRA_ECOLI	Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)	ptrA ptr b2821 JW2789	Escherichia coli (strain K12)	962		b2821 JW2789	ptrA	ptr	3.4.24.55
P05523	reviewed	FPG_ECOLI	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg b3635 JW3610	Escherichia coli (strain K12)	269		b3635 JW3610	mutM	fpg	3.2.2.23; 4.2.99.18
P05637	reviewed	APAH_ECOLI	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH b0049 JW0048	Escherichia coli (strain K12)	280		b0049 JW0048	apaH		3.6.1.41
P05704	reviewed	MCP3_ECOLI	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)	trg b1421 JW1417	Escherichia coli (strain K12)	546		b1421 JW1417	trg		
P05791	reviewed	ILVD_ECOLI	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD b3771 JW5605	Escherichia coli (strain K12)	616		b3771 JW5605	ilvD		4.2.1.9
P05793	reviewed	ILVC_ECOLI	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC b3774 JW3747	Escherichia coli (strain K12)	491		b3774 JW3747	ilvC		1.1.1.86
P05804	reviewed	BGLR_ECOLI	Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase) (EcGUS) (UID)	uidA gurA gusA b1617 JW1609	Escherichia coli (strain K12)	603		b1617 JW1609	uidA	gurA gusA	3.2.1.31
P05824	reviewed	RECN_ECOLI	DNA repair protein RecN (Recombination protein N)	recN radB b2616 JW5416	Escherichia coli (strain K12)	553		b2616 JW5416	recN	radB	
P05825	reviewed	FEPA_ECOLI	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)	fepA fep feuB b0584 JW5086	Escherichia coli (strain K12)	746		b0584 JW5086	fepA	fep feuB	
P05852	reviewed	TSAD_ECOLI	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp ygjD b3064 JW3036	Escherichia coli (strain K12)	337		b3064 JW3036	tsaD	gcp ygjD	2.3.1.234
P06129	reviewed	BTUB_ECOLI	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	btuB bfe cer dcrC b3966 JW3938	Escherichia coli (strain K12)	614		b3966 JW3938	btuB	bfe cer dcrC	
P06134	reviewed	ADA_ECOLI	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]	ada b2213 JW2201	Escherichia coli (strain K12)	354		b2213 JW2201	ada		2.1.1.63; 2.1.1.n11
P06136	reviewed	FTSQ_ECOLI	Cell division protein FtsQ	ftsQ b0093 JW0091	Escherichia coli (strain K12)	276		b0093 JW0091	ftsQ		
P06149	reviewed	DLD_ECOLI	Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase)	dld b2133 JW2121	Escherichia coli (strain K12)	571		b2133 JW2121	dld		1.1.5.12
P06609	reviewed	BTUC_ECOLI	Vitamin B12 import system permease protein BtuC	btuC b1711 JW1701	Escherichia coli (strain K12)	326		b1711 JW1701	btuC		
P06611	reviewed	BTUD_ECOLI	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)	btuD b1709 JW1699	Escherichia coli (strain K12)	249		b1709 JW1699	btuD		7.6.2.8
P06612	reviewed	TOP1_ECOLI	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA supX b1274 JW1266	Escherichia coli (strain K12)	865		b1274 JW1266	topA	supX	5.6.2.1
P06616	reviewed	ERA_ECOLI	GTPase Era (ERA) (GTP-binding protein Era)	era rbaA sdgE b2566 JW2550	Escherichia coli (strain K12)	301		b2566 JW2550	era	rbaA sdgE	
P06709	reviewed	BIRA_ECOLI	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA bioR dhbB b3973 JW3941	Escherichia coli (strain K12)	321		b3973 JW3941	birA	bioR dhbB	6.3.4.15
P06710	reviewed	DPO3X_ECOLI	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)	dnaX dnaZ dnaZX b0470 JW0459	Escherichia coli (strain K12)	643		b0470 JW0459	dnaX	dnaZ dnaZX	2.7.7.7
P06715	reviewed	GSHR_ECOLI	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	gor b3500 JW3467	Escherichia coli (strain K12)	450		b3500 JW3467	gor		1.8.1.7
P06721	reviewed	METC_ECOLI	Cystathionine beta-lyase MetC (CBL) (CL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC) (CD) (EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	metC b3008 JW2975	Escherichia coli (strain K12)	395		b3008 JW2975	metC		4.4.1.13; 4.4.1.28
