Gene Ontology (GO),NAME
2-alkenal reductase [NAD(P)+] activity [GO:0032440],YBR046C
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848],YNL256W
2-aminoadipate transaminase activity [GO:0047536],YER152C;YGL202W;YHR137W;YJL060W
2-dehydropantoate 2-reductase activity [GO:0008677],YHR063C
2-deoxyglucose-6-phosphatase activity [GO:0003850],YHR043C;YHR044C
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0043334]",YML110C
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity [GO:0043716],YEL038W
2-hydroxy-dATP hydrolase activity [GO:0106378],YLR151C
2-isopropylmalate synthase activity [GO:0003852],YNL104C;YOR108W
2-methylcitrate dehydratase activity [GO:0047547],YPR002W
2-methylcitrate synthase activity [GO:0050440],YPR001W
"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity [GO:0043333]",YML110C
2-octaprenyl-6-methoxyphenol hydroxylase activity [GO:0008681],YGR255C
2-oxoglutarate metabolic process [GO:0006103],YDR148C;YFL018C;YFR049W;YIL125W;YKL106W;YLR027C
"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]",YOL096C
"3 iron, 4 sulfur cluster binding [GO:0051538]",YDL171C;YLL041C
"3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]",YOL064C
"3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]",YGL248W;YOR360C
"3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]",YGL248W
3'-phospho-5'-adenylyl sulfate transmembrane transport [GO:1902559],YPR011C
3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity [GO:0046964],YPR011C
3'-phosphoadenylylselenate reductase activity [GO:0098624],YPR167C
"3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]",YDR487C
"3,4-dihydroxybenzoate catabolic process [GO:0019619]",YER010C
3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854],YGL001C;YOL151W
3-dehydroquinate dehydratase activity [GO:0003855],YDR127W
3-dehydroquinate synthase activity [GO:0003856],YDR127W
3-dehydrosphinganine reductase activity [GO:0047560],YBR265W
3-demethoxyubiquinol 3-hydroxylase activity [GO:0008682],YOR125C
3-demethylubiquinol-6 3-O-methyltransferase activity [GO:0061543],YOL096C
3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849],YBR249C;YDR035W
3-hydroxyacyl-CoA dehydratase activity [GO:0018812],YJL097W
3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857],YKR009C
"3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]",YJR025C
3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860],YDR036C
3-hydroxykynureninase activity [GO:0061981],YLR231C
3-isopropylmalate dehydratase activity [GO:0003861],YGL009C
3-isopropylmalate dehydratase complex [GO:0009316],YGL009C
3-isopropylmalate dehydrogenase activity [GO:0003862],YCL018W
3-keto sterol reductase activity [GO:0000253],YLR100W
3-keto-sphinganine metabolic process [GO:0006666],YBR058C-A;YBR265W
3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864],YBR176W
3-methylbutanol:NAD oxidoreductase activity [GO:0052676],YOL151W
3-methylbutanol:NAD(P) oxidoreductase activity [GO:0046568],YOL151W
3-methylbutanol:NADP oxidoreductase activity [GO:0052675],YCR105W;YMR318C;YOL151W
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316],YKL055C;YPL231W
3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315],YER061C;YPL231W
3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866],YDR127W
"4 iron, 4 sulfur cluster binding [GO:0051539]",YDR234W;YGL009C;YGR286C;YJL200C;YJR137C;YLL041C;YLR304C;YOR196C
4-alpha-glucanotransferase activity [GO:0004134],YPR184W
4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124],YHL018W
4-amino-4-deoxychorismate lyase activity [GO:0008696],YMR289W
4-amino-4-deoxychorismate synthase activity [GO:0046820],YNR033W
4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase activity from histidine and PLP [GO:0106344],YFL058W
4-aminobutyrate transaminase activity [GO:0003867],YGR019W
4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386],YGR019W
4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity [GO:0106364],YGR255C
4-hydroxy-4-methyl-2-oxoglutarate aldolase activity [GO:0047443],YER010C
4-hydroxybenzaldehyde dehydrogenase activity [GO:0018484],YMR110C
4-hydroxybenzoate decaprenyltransferase activity [GO:0002083],YNR041C
4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293],YNR041C
4-hydroxybenzoate octaprenyltransferase activity [GO:0008412],YNR041C
4-hydroxyphenylpyruvate decarboxylase activity [GO:0050546],YDR380W
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity [GO:0103066],YGL001C
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity [GO:0103067],YGL001C
5'-adenylyl sulfate transmembrane transport [GO:1902558],YPR011C
5'-adenylyl sulfate transmembrane transporter activity [GO:1902557],YPR011C
5'-deoxynucleotidase activity [GO:0002953],YBR242W;YGL101W
5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport [GO:1903088],YLR237W;YOR071C;YOR192C
5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transporter activity [GO:1903089],YLR237W;YOR071C;YOR192C
5-amino-4-imidazole carboxylate lyase activity [GO:0043727],YOR128C
5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703],YBR153W
5-aminolevulinate synthase activity [GO:0003870],YDR232W
5-fluorocytosine deaminase activity [GO:0102480],YPR062W
5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272],YER183C
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871],YER091C
5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168],YKL215C
5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015],YBL068W;YER099C;YHL011C;YKL181W;YOL061W
"6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]",YOL143C
6-phosphofructo-2-kinase activity [GO:0003873],YIL107C;YJL155C;YLR345W;YOL136C
6-phosphofructokinase activity [GO:0003872],YGR240C;YMR205C
6-phosphofructokinase complex [GO:0005945],YGR240C;YMR205C
6-phosphogluconolactonase activity [GO:0017057],YGR248W;YHR163W
"7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]",YGR267C
"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity [GO:0035539]",YLR151C
"8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]",YLR151C
ABC-type cadmium transporter activity [GO:0015434],YDR135C
ABC-type glutathione S-conjugate transporter activity [GO:0015431],YDR135C
ABC-type sodium transporter activity [GO:0140679],YDR038C;YDR039C;YDR040C
ABC-type sterol transporter activity [GO:0034041],YOR011W
ABC-type transporter activity [GO:0140359],YCR011C;YIL013C;YKL188C;YLL015W;YLL048C;YMR301C;YOL075C;YPL147W
ADP binding [GO:0043531],YBL099W;YCR012W
ADP biosynthetic process [GO:0006172],YDR226W;YER170W
ADP transmembrane transporter activity [GO:0015217],YPR128C
ADP transport [GO:0015866],YBL030C;YPR128C
ADP-ribose diphosphatase activity [GO:0047631],YBR111C
ADP-ribosyl-[dinitrogen reductase] hydrolase activity [GO:0047407],YBR022W
AMP binding [GO:0016208],YAL054C;YDR441C;YGR240C;YLR153C;YML022W;YMR205C
AMP deaminase activity [GO:0003876],YML035C
AMP metabolic process [GO:0046033],YDR226W;YER170W;YML035C
AMP salvage [GO:0044209],YDR441C;YJR105W;YML022W
ATP adenylyltransferase activity [GO:0003877],YCL050C;YDR530C
ATP binding [GO:0005524],YAL026C;YAL038W;YAL054C;YAR015W;YBL039C;YBL068W;YBL076C;YBL080C;YBL099W;YBR020W;YBR041W;YBR084W;YBR097W;YBR121C;YBR127C;YBR208C;YBR218C;YBR222C;YBR295W;YCL004W;YCL030C;YCL040W;YCL047C;YCL050C;YCR011C;YCR012W;YCR036W;YDL045C;YDL100C;YDL141W;YDL166C;YDL185W;YDR009W;YDR017C;YDR020C;YDR023W;YDR037W;YDR038C;YDR039C;YDR040C;YDR093W;YDR127W;YDR135C;YDR147W;YDR173C;YDR196C;YDR208W;YDR226W;YDR236C;YDR248C;YDR261C;YDR268W;YDR270W;YDR300C;YDR315C;YDR341C;YDR454C;YDR502C;YDR516C;YDR530C;YDR531W;YEL029C;YEL031W;YEL041W;YER005W;YER015W;YER052C;YER055C;YER069W;YER070W;YER087W;YER099C;YER170W;YER183C;YFL022C;YFL053W;YFR019W;YFR053C;YGL006W;YGL008C;YGL062W;YGL167C;YGL169W;YGL234W;YGL245W;YGL253W;YGR010W;YGR061C;YGR094W;YGR124W;YGR171C;YGR185C;YGR194C;YGR204W;YGR240C;YGR244C;YGR264C;YGR277C;YHL011C;YHL032C;YHR011W;YHR019C;YHR020W;YHR025W;YHR074W;YHR091C;YHR201C;YIL009W;YIL013C;YIL048W;YIL066C;YIL078W;YIL107C;YIL145C;YJL005W;YJL046W;YJL100W;YJL101C;YJL130C;YJL155C;YJR010W;YJR049C;YJR057W;YJR103W;YJR105W;YJR109C;YJR121W;YKL001C;YKL024C;YKL067W;YKL080W;YKL132C;YKL181W;YKL188C;YKL194C;YKL215C;YKL218C;YKR097W;YLL015W;YLL018C;YLL048C;YLR060W;YLR133W;YLR143W;YLR153C;YLR180W;YLR240W;YLR260W;YLR305C;YLR328W;YLR345W;YLR382C;YLR410W;YLR446W;YML070W;YMR113W;YMR162C;YMR205C;YMR207C;YMR208W;YMR217W;YMR220W;YMR246W;YMR293C;YMR301C;YNL073W;YNL129W;YNL247W;YNL256W;YNL267W;YNR012W;YNR016C;YNR027W;YNR043W;YNR057C;YOL033W;YOL049W;YOL055C;YOL058W;YOL061W;YOL075C;YOL097C;YOL136C;YOR011W;YOR128C;YOR143C;YOR155C;YOR168W;YOR171C;YOR241W;YOR303W;YOR317W;YOR335C;YOR347C;YPL036W;YPL040C;YPL097W;YPL104W;YPL147W;YPL160W;YPL188W;YPL214C;YPL258C;YPR033C;YPR035W;YPR047W;YPR081C;YPR145W
ATP hydrolysis activity [GO:0016887],YAL026C;YBR295W;YCL047C;YCR011C;YDL100C;YDL166C;YDR038C;YDR039C;YDR040C;YDR093W;YDR135C;YDR270W;YEL031W;YGL006W;YGL008C;YGL167C;YIL013C;YIL048W;YJR121W;YKL188C;YLL015W;YLL048C;YMR162C;YMR301C;YOL075C;YOR011W;YPL036W;YPL147W
ATP metabolic process [GO:0046034],YBR127C;YDR226W
ATP phosphoribosyltransferase activity [GO:0003879],YER055C
ATP synthesis coupled electron transport [GO:0042773],Q0250
ATP transmembrane transporter activity [GO:0005347],YPR128C
ATP transport [GO:0015867],YBL030C;YKL165C;YPR128C
ATP-binding cassette (ABC) transporter complex [GO:0043190],YKL188C;YPL147W
ATP-dependent diacylglycerol kinase activity [GO:0004143],YOR311C
ATP:ADP antiporter activity [GO:0005471],YBL030C;YBR085W;YMR056C;YOR222W;YPL134C
ATPase activator activity [GO:0001671],YPL135W
ATPase binding [GO:0051117],YMR054W;YOR270C
ATPase-coupled intramembrane lipid transporter activity [GO:0140326],YAL026C;YDR093W;YIL048W;YMR162C
ATPase-coupled ion transmembrane transporter activity [GO:0042625],YCL005W-A
ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829],YDR270W;YEL031W
ATPase-coupled monocarboxylic acid transmembrane transporter activity [GO:0033285],YLL048C
ATPase-coupled transmembrane transporter activity [GO:0042626],YCR011C;YDR135C;YKL188C;YLL015W;YLL048C;YMR301C;YOL075C;YPL147W
C-22 sterol desaturase activity [GO:0000249],YMR015C
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity [GO:0000252],YGL001C
C-4 methylsterol oxidase activity [GO:0000254],YGR060W
C-5 sterol desaturase activity [GO:0000248],YLR056W
C-8 sterol isomerase activity [GO:0000247],YMR202W
C-acetyltransferase activity [GO:0016453],YGR015C
C-terminal protein methylation [GO:0006481],YDR410C
CAAX-protein geranylgeranyltransferase activity [GO:0004662],YKL019W
CAAX-protein geranylgeranyltransferase complex [GO:0005953],YKL019W
CDP biosynthetic process [GO:0046705],YKL024C
CDP-choline pathway [GO:0006657],YGR202C;YNL130C
CDP-diacylglycerol biosynthetic process [GO:0016024],YBL011W;YBR029C;YDL052C;YGR046W;YKR067W
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444],YCL004W
CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881],YPR113W
CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:0003882],YER026C
COPII-coated ER to Golgi transport vesicle [GO:0030134],YKR039W
CTP biosynthetic process [GO:0006241],YBL039C;YJR103W;YKL067W
CTP salvage [GO:0044211],YDR020C;YNR012W
CTP synthase activity [GO:0003883],YBL039C;YJR103W
CTP-dependent diacylglycerol kinase activity [GO:0141035],YOR311C
Cdc50p-Drs2p complex [GO:1990530],YAL026C
CoA-synthesizing protein complex [GO:1990143],YDR196C;YGR277C;YIL083C;YKL088W;YKR072C;YOR054C
Cvt complex [GO:0034270],YGL156W;YKL103C
D-amino acid metabolic process [GO:0046416],YEL066W
D-amino-acid N-acetyltransferase activity [GO:0047812],YEL066W
"D-arabinono-1,4-lactone oxidase activity [GO:0003885]",YML086C
D-arabinose 1-dehydrogenase (NAD+) activity [GO:0047816],YBR149W;YMR041C
D-arabinose 1-dehydrogenase (NADP+) activity [GO:0106271],YBR149W
D-arabinose 1-dehydrogenase [NAD(P)+] activity [GO:0045290],YBR149W;YMR041C
D-erythro-sphingosine kinase activity [GO:0017050],YLR260W;YOR171C
D-gluconate catabolic process [GO:0046177],YDR248C;YGR256W;YHR183W
D-lactate dehydrogenase (cytochrome) activity [GO:0004458],YDL174C;YDL178W;YEL071W
D-lactate dehydrogenase activity [GO:0008720],YDL174C
D-leucine catabolic process [GO:1900832],YDL219W
D-leucyl-tRNA(Leu) deacylase activity [GO:0097358],YDL219W
D-ribose catabolic process [GO:0019303],YCR036W
D-ribose metabolic process [GO:0006014],YOR095C
D-ribulokinase activity [GO:0019150],YDR109C
D-ribulose-phosphate 3-epimerase activity [GO:0004750],YJL121C
D-serine ammonia-lyase activity [GO:0008721],YGL196W;YKL218C
D-serine catabolic process [GO:0036088],YGL196W
D-serine metabolic process [GO:0070178],YGL196W
D-tyrosine catabolic process [GO:1900829],YDL219W
D-tyrosyl-tRNA(Tyr) deacylase activity [GO:0051500],YDL219W
D-xylose catabolic process [GO:0042843],YDR368W;YHR104W;YOR120W
D-xylose metabolic process [GO:0042732],YGR194C;YLR070C
D-xylose:NADP reductase activity [GO:0032866],YHR104W
D-xylulose reductase activity [GO:0046526],YDL246C;YJR159W;YLR070C
DNA binding [GO:0003677],YBR026C;YDL185W;YDR261C;YDR440W;YMR241W
DNA damage checkpoint signaling [GO:0000077],YDR440W
DNA damage response [GO:0006974],YKL067W;YOL068C;YPL262W
DNA integration [GO:0015074],YDR261C
DNA recombination [GO:0006310],YDR261C
DNA repair [GO:0006281],YDL182W;YDR440W;YKL067W;YLR151C
DNA replication [GO:0006260],YER070W;YIL066C
DNA replication initiation [GO:0006270],YDR226W
DNA replication origin binding [GO:0003688],YNL220W
DNA-directed DNA polymerase activity [GO:0003887],YDR261C
DNA-templated transcription elongation [GO:0006354],YJL168C
DNA-templated transcription termination [GO:0006353],YBR121C;YJL168C
ER-associated misfolded protein catabolic process [GO:0071712],YAL023C;YDL095W
FAD binding [GO:0071949],YBL098W;YDL174C;YDL178W;YEL071W;YGL125W;YGL205W;YGR234W;YGR255C;YLR142W;YML086C;YPL023C
FAD biosynthetic process [GO:0006747],YDL045C
FAD metabolic process [GO:0046443],YJR051W
FAD transmembrane transporter activity [GO:0015230],YIL134W
FAD transport [GO:0015883],YIL134W
FMN adenylyltransferase activity [GO:0003919],YDL045C
FMN binding [GO:0010181],YBR035C;YDL171C;YEL047C;YFR030W;YGL148W;YHR042W;YJR051W;YJR137C;YKL088W;YKR072C;YLR011W;YOR054C
FMN biosynthetic process [GO:0009398],YDR236C
FMN reductase (NAD(P)H) activity [GO:0008752],YGL148W;YLR011W
FMN reductase (NADH) activity [GO:0052874],YLR011W
FMN reductase (NADPH) activity [GO:0052873],YGL148W;YLR011W
G-protein beta-subunit binding [GO:0031681],YPR165W
GDP biosynthetic process [GO:0046711],YDR454C
GDP phosphatase activity [GO:0004382],YEL042W;YER005W
"GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity [GO:0004378]",YGL065C
"GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity [GO:0102704]",YGL065C
"GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]",YNL048W
GDP-mannose biosynthetic process [GO:0009298],YDL055C;YER003C;YFL045C
GDP-mannose transmembrane transport [GO:1990570],YGL225W
GDP-mannose transmembrane transporter activity [GO:0005458],YGL225W
GET complex [GO:0043529],YDL100C
GMP 5'-nucleotidase activity [GO:0050484],YBR242W;YGL101W
GMP biosynthetic process [GO:0006177],YHR216W;YLR432W;YML056C;YMR217W
GMP salvage [GO:0032263],YDR399W;YJR133W
GMP synthase (glutamine-hydrolyzing) activity [GO:0003922],YMR217W;YNL333W
GMP synthase activity [GO:0003921],YMR217W
GPI anchor biosynthetic process [GO:0006506],YBR004C;YCL052C;YDR302W;YDR437W;YGL084C;YGL142C;YGR216C;YJL091C;YJR013W;YKL165C;YLL031C;YMR281W;YNL038W;YOR149C;YPL076W;YPL096C-A;YPL175W;YPL189W;YPR183W
GTP binding [GO:0005525],YAL035W;YBL033C;YDL055C;YER170W;YGR267C;YHR128W;YLL001W;YNL220W;YPR165W
GTP biosynthetic process [GO:0006183],YHR216W;YKL067W;YLR432W;YML056C
GTP cyclohydrolase I activity [GO:0003934],YGR267C
GTP cyclohydrolase II activity [GO:0003935],YBL033C
GTP diphosphatase activity [GO:0036219],YJR069C
GTP metabolic process [GO:0046039],YER170W
GTPase activity [GO:0003924],YAL035W;YLL001W;YPR165W
GTPase inhibitor activity [GO:0005095],YPL096C-A
Glc3Man9GlcNAc2 oligosaccharide glucosidase activity [GO:0004573],YGL027C
Golgi apparatus [GO:0005794],YBR036C;YBR161W;YBR199W;YBR205W;YDL100C;YDR270W;YDR367W;YDR483W;YEL042W;YER005W;YFL017C;YGL167C;YGL225W;YGR247W;YHR123W;YIL048W;YJL139C;YJR040W;YKL004W;YKL174C;YKR061W;YLR260W;YMR054W;YNL029C;YNL130C;YOR099W;YOR171C;YPL053C;YPL057C;YPR113W;YPR165W
Golgi cis cisterna [GO:0000137],YGL038C
Golgi cisterna membrane [GO:0032580],YKL004W
Golgi lumen acidification [GO:0061795],YBR127C;YCL005W-A;YDL185W;YEL027W;YEL051W;YGR020C;YGR106C;YHR026W;YHR039C-A;YKL080W;YLR447C;YMR054W;YOR332W;YPL234C;YPR036W;YPR170W-B
Golgi medial cisterna [GO:0005797],YDR483W;YJR040W;YKL212W
Golgi membrane [GO:0000139],YBR097W;YBR127C;YCL005W-A;YDL185W;YDR072C;YDR367W;YDR373W;YDR483W;YDR503C;YEL027W;YEL042W;YEL051W;YER005W;YGL167C;YGL225W;YGR020C;YGR106C;YGR170W;YGR209C;YHR026W;YHR039C-A;YHR123W;YIL048W;YJL139C;YJR040W;YKL080W;YKL165C;YKL174C;YKL212W;YKR061W;YLR043C;YLR057W;YLR240W;YLR260W;YLR360W;YLR447C;YMR054W;YOR099W;YOR171C;YOR332W;YPL120W;YPL234C;YPR036W;YPR159W;YPR170W-B
Golgi organization [GO:0007030],YJL100W
Golgi stack [GO:0005795],YGR170W
Golgi to plasma membrane transport vesicle [GO:0070319],YBR029C
Group I intron splicing [GO:0000372],YLR382C
Hpa2 acetyltransferase complex [GO:1990331],YPR193C
IMP 5'-nucleotidase activity [GO:0050483],YOR155C
IMP biosynthetic process [GO:0006188],YML035C
IMP cyclohydrolase activity [GO:0003937],YLR028C;YMR120C
IMP dehydrogenase activity [GO:0003938],YHR216W;YLR432W;YML056C
IMP metabolic process [GO:0046040],YNL220W
IMP salvage [GO:0032264],YDR399W;YJR133W;YML035C
ITP diphosphatase activity [GO:0036220],YJR069C
ITP metabolic process [GO:0046041],YER170W
L-alanine catabolic process [GO:0042853],YDR111C;YLR089C
L-alanine:2-oxoglutarate aminotransferase activity [GO:0004021],YDR111C;YLR089C
L-allo-threonine aldolase activity [GO:0008732],YEL046C
L-amino acid transmembrane transporter activity [GO:0015179],YGR055W;YHL036W
L-aminoadipate-semialdehyde dehydrogenase activity [GO:0004043],YBR115C
L-arabinose catabolic process to xylulose 5-phosphate [GO:0019569],YLR070C
L-arginine transmembrane transport [GO:1903826],YEL063C
L-arginine transmembrane transporter activity [GO:0061459],YEL063C;YER119C
L-asparagine biosynthetic process [GO:0070981],YGR124W;YPR145W
L-aspartate transmembrane transporter activity [GO:0015183],YER119C;YOR222W;YPL134C;YPR021C
L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069],YKL106W;YLR027C
L-cysteine catabolic process to pyruvate [GO:0019450],YFR055W
L-cysteine desulfhydrase activity [GO:0080146],YAL012W
L-cysteine desulfurase complex [GO:1990221],YCL017C
L-cystine L-cysteine-lyase (deaminating) [GO:0044540],YAL012W
L-cystine transmembrane transporter activity [GO:0015184],YCR075C
L-cystine transport [GO:0015811],YCR075C
L-glutamate biosynthetic process [GO:0097054],YDL171C
L-glutamate transmembrane transport [GO:0015813],YOR222W;YPL134C;YPR021C
L-glutamate transmembrane transporter activity [GO:0005313],YER119C;YOR222W;YPL134C;YPR021C
L-glutamine transmembrane transporter activity [GO:0015186],YJR001W;YKL146W;YNL101W
L-histidine transmembrane transporter activity [GO:0005290],YER119C
L-homocysteine biosynthetic process [GO:0071269],YLL058W;YLR303W
L-iditol 2-dehydrogenase activity [GO:0003939],YDL246C;YJR159W;YLR070C
L-isoleucine transaminase activity [GO:0052656],YHR208W;YJR148W
L-isoleucine transmembrane transporter activity [GO:0015188],YJR001W;YKL146W;YNL101W
L-kynurenine catabolic process [GO:0097053],YHR137W;YJL060W;YLR231C
L-lactate dehydrogenase (cytochrome) activity [GO:0004460],YML054C
L-leucine transaminase activity [GO:0052654],YHR208W;YJR148W
L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048],YHR208W;YJR148W
L-lysine catabolic process to acetyl-CoA via saccharopine [GO:0033512],YDR148C
L-lysine transmembrane transporter activity [GO:0015189],YER119C
L-malate dehydrogenase activity [GO:0030060],YDL078C;YKL085W;YOL126C
L-methionine salvage from S-adenosylmethionine [GO:0019284],YEL038W;YJR024C;YPL273W;YPR118W
L-methionine salvage from methylthioadenosine [GO:0019509],YEL038W;YGL202W;YHR137W;YHR208W;YJR024C;YJR148W;YLR017W;YMR009W;YPR118W
L-methionine secondary active transmembrane transporter activity [GO:0000102],YGR055W
L-methionine transmembrane transporter activity [GO:0015191],YHL036W
L-methionine-(R)-S-oxide reductase activity [GO:0033745],YKL069W
L-methionine-(S)-S-oxide reductase activity [GO:0036456],YER042W
L-ornithine transmembrane transporter activity [GO:0000064],YOR130C;YPR058W
