NAME,ENTRY,Gene Ontology (GO)
YBR019C,P04397,cytosol [GO:0005829]; aldose 1-epimerase activity [GO:0004034]; carbohydrate binding [GO:0030246]; UDP-glucose 4-epimerase activity [GO:0003978]; galactose catabolic process via UDP-galactose [GO:0033499]
YBR020W,P04385,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; carbohydrate phosphorylation [GO:0046835]; galactose catabolic process via UDP-galactose [GO:0033499]; galactose metabolic process [GO:0006012]; positive regulation of transcription by galactose [GO:0000411]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]
YBR021W,P05316,cell periphery [GO:0071944]; eisosome [GO:0032126]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; nucleobase transmembrane transporter activity [GO:0015205]; uracil:monoatomic cation symporter activity [GO:0015505]; nucleobase transport [GO:0015851]; transmembrane transport [GO:0055085]; uracil transport [GO:0015857]
YBR022W,P38218,"ADP-ribosyl-[dinitrogen reductase] hydrolase activity [GO:0047407]; phosphatase activity [GO:0016791]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"
YBR023C,P29465,cell periphery [GO:0071944]; cell septum [GO:0030428]; cellular bud neck [GO:0005935]; chitosome [GO:0045009]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]; chitin synthase activity [GO:0004100]; ascospore wall assembly [GO:0030476]; cell wall chitin biosynthetic process [GO:0006038]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; protein localization to bud neck [GO:0097271]
YBR026C,P38071,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; DNA binding [GO:0003677]; enoyl-[acyl-carrier-protein] reductase activity [GO:0016631]; trans-2-enoyl-CoA reductase (NADPH) activity [GO:0019166]; aerobic respiration [GO:0009060]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]
YBR029C,P38221,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi to plasma membrane transport vesicle [GO:0070319]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidylinositol metabolic process [GO:0046488]; phosphatidylserine metabolic process [GO:0006658]
YBR034C,P38074,nucleus [GO:0005634]; identical protein binding [GO:0042802]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]; folic acid biosynthetic process [GO:0046656]; mRNA export from nucleus [GO:0006406]; negative regulation of termination of DNA-templated transcription [GO:0060567]; peptidyl-arginine methylation [GO:0018216]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]
YBR035C,P38075,mitochondrial intermembrane space [GO:0005758]; FMN binding [GO:0010181]; pyridoxamine phosphate oxidase activity [GO:0004733]; pyridoxal 5'-phosphate salvage [GO:0009443]; pyridoxine biosynthetic process [GO:0008615]
YBR036C,P35206,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; fungal-type vacuole [GO:0000324]; Golgi apparatus [GO:0005794]; mannosyltransferase complex [GO:0031501]; enzyme regulator activity [GO:0030234]; glycosphingolipid biosynthetic process [GO:0006688]; intracellular calcium ion homeostasis [GO:0006874]; mannosyl diphosphorylinositol ceramide metabolic process [GO:0006676]
YBR038W,P14180,cell periphery [GO:0071944]; cell septum [GO:0030428]; cellular bud neck [GO:0005935]; membrane [GO:0016020]; chitin synthase activity [GO:0004100]; cell wall chitin biosynthetic process [GO:0006038]; cell wall organization [GO:0071555]; chitin biosynthetic process [GO:0006031]; mitotic actomyosin contractile ring contraction [GO:1902404]
YBR039W,P38077,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]; mitochondrion [GO:0005739]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]"
YBR041W,P38225,cell periphery [GO:0071944]; cytoplasmic side of plasma membrane [GO:0009898]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; lipid droplet [GO:0005811]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; ATP binding [GO:0005524]; long-chain fatty acid transporter activity [GO:0005324]; long-chain fatty acid-CoA ligase activity [GO:0004467]; very long-chain fatty acid-CoA ligase activity [GO:0031957]; long-chain fatty acid import into cell [GO:0044539]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; very long-chain fatty acid metabolic process [GO:0000038]
YBR042C,P38226,endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; acyltransferase activity [GO:0016746]; phosphatidylinositol acyl-chain remodeling [GO:0036149]; phospholipid biosynthetic process [GO:0008654]
YBR046C,P38230,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; 2-alkenal reductase [NAD(P)+] activity [GO:0032440]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; NADPH binding [GO:0070402]; NADPH:quinone reductase activity [GO:0003960]; zinc ion binding [GO:0008270]; cellular response to oxidative stress [GO:0034599]
YBR058C-A,Q3E790,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; SPOTS complex [GO:0035339]; enzyme activator activity [GO:0008047]; 3-keto-sphinganine metabolic process [GO:0006666]; intracellular sphingolipid homeostasis [GO:0090156]; positive regulation of sphingolipid biosynthetic process [GO:0090154]
YBR068C,P38084,endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; L-phenylalanine transmembrane transporter activity [GO:0015192]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; leucine import across plasma membrane [GO:0098713]; transmembrane transport [GO:0055085]
YBR069C,P38085,cell periphery [GO:0071944]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; low-affinity tryptophan transmembrane transporter activity [GO:0022893]; amino acid transmembrane transport [GO:0003333]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]; tryptophan transport [GO:0015827]; tyrosine transport [GO:0015828]
YBR070C,P38242,cytoplasmic side of Golgi membrane [GO:0098548]; endoplasmic reticulum membrane [GO:0005789]; nuclear membrane [GO:0031965]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; UDP-N-acetylglucosamine transferase complex [GO:0043541]; protein-membrane adaptor activity [GO:0043495]; dolichol-linked oligosaccharide biosynthetic process [GO:0006488]
YBR084W,P09440,cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; formate-tetrahydrofolate ligase activity [GO:0004329]; methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; folic acid biosynthetic process [GO:0046656]; nucleobase-containing compound metabolic process [GO:0006139]; tetrahydrofolate interconversion [GO:0035999]
YBR085W,P18238,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ATP:ADP antiporter activity [GO:0005471]; identical protein binding [GO:0042802]; anaerobic respiration [GO:0009061]; heme transport [GO:0015886]; mitochondrial ADP transmembrane transport [GO:0140021]; mitochondrial ATP transmembrane transport [GO:1990544]; transmembrane transport [GO:0055085]
YBR092C,P24031,cell wall-bounded periplasmic space [GO:0030287]; endoplasmic reticulum [GO:0005783]; fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]; phosphate-containing compound metabolic process [GO:0006796]; thiamine-containing compound metabolic process [GO:0042723]
YBR093C,P00635,cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]; nucleoside triphosphate diphosphatase activity [GO:0047429]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; cellular response to phosphate starvation [GO:0016036]; phosphate-containing compound metabolic process [GO:0006796]; regulation of cell size [GO:0008361]
YBR097W,P22219,"endosome membrane [GO:0010008]; fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; late endosome [GO:0005770]; mitochondrion [GO:0005739]; nucleus-vacuole junction [GO:0071561]; phagophore assembly site membrane [GO:0034045]; phosphatidylinositol 3-kinase complex, class III, type I [GO:0034271]; phosphatidylinositol 3-kinase complex, class III, type II [GO:0034272]; vacuole-isolation membrane contact site [GO:0120095]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin binding [GO:0043130]; autophagy [GO:0006914]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; pexophagy [GO:0000425]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphorylation [GO:0016310]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]; protein transport [GO:0015031]; vacuole inheritance [GO:0000011]"
YBR110W,P16661,"endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; beta-1,4-mannosyltransferase activity [GO:0019187]; chitobiosyldiphosphodolichol beta-mannosyltransferase activity [GO:0004578]; mannosyltransferase activity [GO:0000030]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]"
YBR111C,Q01976,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]; nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]
YBR115C,P07702,cytoplasm [GO:0005737]; L-aminoadipate-semialdehyde dehydrogenase activity [GO:0004043]; phosphopantetheine binding [GO:0031177]; lysine biosynthetic process via aminoadipic acid [GO:0019878]
YBR117C,P33315,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; transketolase activity [GO:0004802]; pentose-phosphate shunt [GO:0006098]
YBR121C,P38088,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]; transferase activity [GO:0016740]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; DNA-templated transcription termination [GO:0006353]; glycyl-tRNA aminoacylation [GO:0006426]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]
YBR126C,Q00764,"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytoplasm [GO:0005737]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; carbohydrate metabolic process [GO:0005975]; cellular response to desiccation [GO:0071465]; cellular response to heat [GO:0034605]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]"
