Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)
O60200	reviewed	MDM35_YEAST	Mitochondrial distribution and morphology protein 35	MDM35 YKL053C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; intermembrane lipid transfer [GO:0120009]; mitochondrial respiratory chain complex assembly [GO:0033108]; mitochondrion organization [GO:0007005]; phospholipid translocation [GO:0045332]; phospholipid transport [GO:0015914]
O74700	reviewed	TIM9_YEAST	Mitochondrial import inner membrane translocase subunit TIM9	TIM9 YEL020W-A YEL020BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial intermembrane space protein transporter complex [GO:0042719]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; metal ion binding [GO:0046872]; protein transporter activity [GO:0140318]; unfolded protein binding [GO:0051082]; protein insertion into mitochondrial inner membrane [GO:0045039]
O94742	reviewed	SEM1_YEAST	26S proteasome complex subunit SEM1	SEM1 DSH1 YDR363W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89	cytosol [GO:0005829]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; transcription export complex 2 [GO:0070390]; molecular adaptor activity [GO:0060090]; protein folding chaperone [GO:0044183]; double-strand break repair via homologous recombination [GO:0000724]; filamentous growth [GO:0030447]; maintenance of DNA trinucleotide repeats [GO:0035753]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of cell cycle [GO:0051726]; SAGA complex localization to transcription regulatory region [GO:0072742]; ubiquitin-dependent protein catabolic process [GO:0006511]
P00044	reviewed	CYC1_YEAST	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1 YJR048W J1653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
P00045	reviewed	CYC7_YEAST	Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)	CYC7 CYP3 YEL039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	113	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
P00127	reviewed	QCR6_YEAST	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	QCR6 UCR6 YFR033C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; proton transmembrane transport [GO:1902600]
P00128	reviewed	QCR7_YEAST	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	QCR7 CRO1 UCR7 YDR529C D9719.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]; proton transmembrane transport [GO:1902600]
P00163	reviewed	CYB_YEAST	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	COB CYTB Q0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
P00175	reviewed	CYB2_YEAST	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	CYB2 YML054C YM9958.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; respirasome [GO:0070469]; heme binding [GO:0020037]; L-lactate dehydrogenase (cytochrome) activity [GO:0004460]; metal ion binding [GO:0046872]; lactate metabolic process [GO:0006089]
P00330	reviewed	ADH1_YEAST	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)	ADH1 ADC1 YOL086C O0947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; allyl-alcohol dehydrogenase activity [GO:0047655]; butanol dehydrogenase activity [GO:1990362]; identical protein binding [GO:0042802]; melatonin binding [GO:1904408]; methylglyoxal reductase (NADH-dependent) activity [GO:0019170]; octanol dehydrogenase activity [GO:0004552]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; glycolytic fermentation to ethanol [GO:0019655]; NADH oxidation [GO:0006116]
P00331	reviewed	ADH2_YEAST	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	cytoplasm [GO:0005737]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; butanol dehydrogenase activity [GO:1990362]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol metabolic process [GO:0006067]; NADH oxidation [GO:0006116]
P00358	reviewed	G3P2_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH2 GPD2 YJR009C J1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; promoter-specific chromatin binding [GO:1990841]; apoptotic process [GO:0006915]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; reactive oxygen species metabolic process [GO:0072593]
P00359	reviewed	G3P3_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH3 GPD3 YGR192C G7576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; RNA binding [GO:0003723]; apoptotic process [GO:0006915]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; heme transport [GO:0015886]; reactive oxygen species metabolic process [GO:0072593]
P00360	reviewed	G3P1_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH1 GPD1 SSS2 YJL052W J1154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
P00401	reviewed	COX1_YEAST	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COX1 OXI3 Q0045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534	mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
P00410	reviewed	COX2_YEAST	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COX2 OXI1 Q0250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251	mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
P00420	reviewed	COX3_YEAST	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COX3 OXI2 Q0275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269	mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]
P00424	reviewed	COX5A_YEAST	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	COX5A YNL052W N2474 YNL2474W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; oxidoreductase activity [GO:0016491]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; proton transmembrane transport [GO:1902600]
P00431	reviewed	CCPR_YEAST	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; response to reactive oxygen species [GO:0000302]
P00445	reviewed	SODC_YEAST	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1 YJR104C J1968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	154	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; superoxide dismutase complex [GO:1902693]; copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; fungal-type cell wall organization [GO:0031505]; intracellular copper ion homeostasis [GO:0006878]; intracellular zinc ion homeostasis [GO:0006882]; negative regulation of cellular respiration [GO:1901856]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein maturation by copper ion transfer [GO:0015680]; protein stabilization [GO:0050821]; removal of superoxide radicals [GO:0019430]; superoxide metabolic process [GO:0006801]
P00546	reviewed	CDK1_YEAST	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298	cellular bud neck [GO:0005935]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone binding [GO:0042393]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II complex binding [GO:0000993]; 7-methylguanosine mRNA capping [GO:0006370]; cell division [GO:0051301]; DNA damage response [GO:0006974]; DNA double-strand break processing [GO:0000729]; double-strand break repair via nonhomologous end joining [GO:0006303]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic DNA double-strand break processing [GO:0000706]; mitotic sister chromatid biorientation [GO:1990758]; mitotic spindle assembly [GO:0090307]; negative regulation of DNA replication origin binding [GO:1902596]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of meiotic cell cycle [GO:0051447]; negative regulation of mitotic actomyosin contractile ring assembly [GO:1903500]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of sister chromatid cohesion [GO:0045875]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of meiotic cell cycle [GO:0051446]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic DNA damage checkpoint [GO:1904291]; positive regulation of mitotic spindle pole body separation [GO:0010696]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of trehalose catabolic process [GO:1901319]; positive regulation of triglyceride catabolic process [GO:0010898]; post-Golgi vesicle-mediated transport [GO:0006892]; protein catabolic process [GO:0030163]; protein localization to nuclear periphery [GO:1990139]; protein localization to nucleus [GO:0034504]; protein localization to spindle microtubule [GO:1902889]; protein phosphorylation [GO:0006468]; regulation of budding cell apical bud growth [GO:0010568]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of chromatin organization [GO:1902275]; regulation of DNA-templated transcription [GO:0006355]; regulation of filamentous growth [GO:0010570]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; regulation of protein localization [GO:0032880]; regulation of protein localization to chromatin [GO:1905634]; regulation of spindle assembly [GO:0090169]; regulation of telomere maintenance via telomerase [GO:0032210]; response to organic substance [GO:0010033]; signal transduction [GO:0007165]; synaptonemal complex assembly [GO:0007130]
P00549	reviewed	KPYK1_YEAST	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	CDC19 PYK1 YAL038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]; pyruvate metabolic process [GO:0006090]
P00560	reviewed	PGK_YEAST	Phosphoglycerate kinase (EC 2.7.2.3)	PGK1 YCR012W YCR12W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	416	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]
P00572	reviewed	KTHY_YEAST	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	CDC8 YJR057W J1715	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; thymidylate kinase activity [GO:0004798]; UMP/dUMP kinase activity [GO:0009041]; dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; phosphorylation [GO:0016310]
P00635	reviewed	PPA5_YEAST	Repressible acid phosphatase (EC 3.1.3.2) (P60)	PHO5 YBR093C YBR0814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]; nucleoside triphosphate diphosphatase activity [GO:0047429]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; cellular response to phosphate starvation [GO:0016036]; phosphate-containing compound metabolic process [GO:0006796]; regulation of cell size [GO:0008361]
P00724	reviewed	INV2_YEAST	Invertase 2 (EC 3.2.1.26) (Beta-fructofuranosidase 2) (Saccharase)	SUC2 YIL162W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; beta-fructofuranosidase activity [GO:0004564]; inulinase activity [GO:0051670]; sucrose alpha-glucosidase activity [GO:0004575]; fructan catabolic process [GO:0010147]; inulin catabolic process [GO:1902927]; raffinose catabolic process [GO:0034484]; sucrose catabolic process [GO:0005987]
P00729	reviewed	CBPY_YEAST	Carboxypeptidase Y (CPD-Y) (cpY) (EC 3.4.16.5) (Carboxypeptidase YSCY)	PRC1 YMR297W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	532	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; fungal-type vacuole lumen [GO:0000328]; serine-type carboxypeptidase activity [GO:0004185]; macroautophagy [GO:0016236]; phytochelatin biosynthetic process [GO:0046938]; zymogen activation [GO:0031638]
