Entry,Gene Ontology (GO)
O60200,cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; intermembrane lipid transfer [GO:0120009]; mitochondrial respiratory chain complex assembly [GO:0033108]; mitochondrion organization [GO:0007005]; phospholipid translocation [GO:0045332]; phospholipid transport [GO:0015914]
O74700,mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial intermembrane space protein transporter complex [GO:0042719]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; metal ion binding [GO:0046872]; protein transporter activity [GO:0140318]; unfolded protein binding [GO:0051082]; protein insertion into mitochondrial inner membrane [GO:0045039]
O94742,"cytosol [GO:0005829]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; transcription export complex 2 [GO:0070390]; molecular adaptor activity [GO:0060090]; protein folding chaperone [GO:0044183]; double-strand break repair via homologous recombination [GO:0000724]; filamentous growth [GO:0030447]; maintenance of DNA trinucleotide repeats [GO:0035753]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of cell cycle [GO:0051726]; SAGA complex localization to transcription regulatory region [GO:0072742]; ubiquitin-dependent protein catabolic process [GO:0006511]"
P00044,"mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"
P00045,"mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respirasome [GO:0070469]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"
P00127,"mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; proton transmembrane transport [GO:1902600]"
P00128,"matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]; proton transmembrane transport [GO:1902600]"
P00163,"mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"
P00175,cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; respirasome [GO:0070469]; heme binding [GO:0020037]; L-lactate dehydrogenase (cytochrome) activity [GO:0004460]; metal ion binding [GO:0046872]; lactate metabolic process [GO:0006089]
P00330,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; allyl-alcohol dehydrogenase activity [GO:0047655]; butanol dehydrogenase activity [GO:1990362]; identical protein binding [GO:0042802]; melatonin binding [GO:1904408]; methylglyoxal reductase (NADH-dependent) activity [GO:0019170]; octanol dehydrogenase activity [GO:0004552]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; glycolytic fermentation to ethanol [GO:0019655]; NADH oxidation [GO:0006116]
P00331,cytoplasm [GO:0005737]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; butanol dehydrogenase activity [GO:1990362]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol metabolic process [GO:0006067]; NADH oxidation [GO:0006116]
P00358,cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; promoter-specific chromatin binding [GO:1990841]; apoptotic process [GO:0006915]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; reactive oxygen species metabolic process [GO:0072593]
P00359,cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; RNA binding [GO:0003723]; apoptotic process [GO:0006915]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; heme transport [GO:0015886]; reactive oxygen species metabolic process [GO:0072593]
P00360,cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]
P00401,"mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
P00410,"mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
P00420,"mitochondrial membrane [GO:0031966]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
P00424,"mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]; oxidoreductase activity [GO:0016491]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; proton transmembrane transport [GO:1902600]"
P00431,mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; response to reactive oxygen species [GO:0000302]
P00445,cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; superoxide dismutase complex [GO:1902693]; copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; fungal-type cell wall organization [GO:0031505]; intracellular copper ion homeostasis [GO:0006878]; intracellular zinc ion homeostasis [GO:0006882]; negative regulation of cellular respiration [GO:1901856]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein maturation by copper ion transfer [GO:0015680]; protein stabilization [GO:0050821]; removal of superoxide radicals [GO:0019430]; superoxide metabolic process [GO:0006801]
P00546,cellular bud neck [GO:0005935]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone binding [GO:0042393]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II complex binding [GO:0000993]; 7-methylguanosine mRNA capping [GO:0006370]; cell division [GO:0051301]; DNA damage response [GO:0006974]; DNA double-strand break processing [GO:0000729]; double-strand break repair via nonhomologous end joining [GO:0006303]; G1/S transition of mitotic cell cycle [GO:0000082]; G2/M transition of mitotic cell cycle [GO:0000086]; meiotic DNA double-strand break processing [GO:0000706]; mitotic sister chromatid biorientation [GO:1990758]; mitotic spindle assembly [GO:0090307]; negative regulation of DNA replication origin binding [GO:1902596]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of meiotic cell cycle [GO:0051447]; negative regulation of mitotic actomyosin contractile ring assembly [GO:1903500]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of sister chromatid cohesion [GO:0045875]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of meiotic cell cycle [GO:0051446]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of mitotic DNA damage checkpoint [GO:1904291]; positive regulation of mitotic spindle pole body separation [GO:0010696]; positive regulation of nuclear cell cycle DNA replication [GO:0010571]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of trehalose catabolic process [GO:1901319]; positive regulation of triglyceride catabolic process [GO:0010898]; post-Golgi vesicle-mediated transport [GO:0006892]; protein catabolic process [GO:0030163]; protein localization to nuclear periphery [GO:1990139]; protein localization to nucleus [GO:0034504]; protein localization to spindle microtubule [GO:1902889]; protein phosphorylation [GO:0006468]; regulation of budding cell apical bud growth [GO:0010568]; regulation of cell cycle G1/S phase transition [GO:1902806]; regulation of chromatin organization [GO:1902275]; regulation of DNA-templated transcription [GO:0006355]; regulation of filamentous growth [GO:0010570]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of gene expression [GO:0010468]; regulation of protein localization [GO:0032880]; regulation of protein localization to chromatin [GO:1905634]; regulation of spindle assembly [GO:0090169]; regulation of telomere maintenance via telomerase [GO:0032210]; response to organic substance [GO:0010033]; signal transduction [GO:0007165]; synaptonemal complex assembly [GO:0007130]
P00549,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]; pyruvate metabolic process [GO:0006090]
P00560,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]
P00572,cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; thymidylate kinase activity [GO:0004798]; UMP/dUMP kinase activity [GO:0009041]; dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]; phosphorylation [GO:0016310]
P00635,cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]; nucleoside triphosphate diphosphatase activity [GO:0047429]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; cellular response to phosphate starvation [GO:0016036]; phosphate-containing compound metabolic process [GO:0006796]; regulation of cell size [GO:0008361]
P00724,cell periphery [GO:0071944]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; beta-fructofuranosidase activity [GO:0004564]; inulinase activity [GO:0051670]; sucrose alpha-glucosidase activity [GO:0004575]; fructan catabolic process [GO:0010147]; inulin catabolic process [GO:1902927]; raffinose catabolic process [GO:0034484]; sucrose catabolic process [GO:0005987]
P00729,cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type vacuole [GO:0000324]; fungal-type vacuole lumen [GO:0000328]; serine-type carboxypeptidase activity [GO:0004185]; macroautophagy [GO:0016236]; phytochelatin biosynthetic process [GO:0046938]; zymogen activation [GO:0031638]
P00812,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; ornithine carbamoyltransferase inhibitor complex [GO:1903269]; arginase activity [GO:0004053]; manganese ion binding [GO:0030145]; ornithine carbamoyltransferase inhibitor activity [GO:0090369]; zinc ion binding [GO:0008270]; arginine catabolic process to ornithine [GO:0019547]; regulation of ornithine metabolic process [GO:0090368]; urea cycle [GO:0000050]
P00815,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; histidinol dehydrogenase activity [GO:0004399]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; histidine biosynthetic process [GO:0000105]
P00817,cytoplasm [GO:0005737]; nucleus [GO:0005634]; inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; phosphate-containing compound metabolic process [GO:0006796]
P00830,"cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrion [GO:0005739]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]"
P00854,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]"
P00890,cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; citrate (Si)-synthase activity [GO:0004108]; citrate synthase activity [GO:0036440]; acetyl-CoA catabolic process [GO:0046356]; carbohydrate metabolic process [GO:0005975]; citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]
P00924,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]; magnesium ion binding [GO:0000287]; melatonin binding [GO:1904408]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]; regulation of vacuole fusion, non-autophagic [GO:0032889]"
P00925,"cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]; mitochondrion [GO:0005739]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]; magnesium ion binding [GO:0000287]; melatonin binding [GO:1904408]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]; regulation of vacuole fusion, non-autophagic [GO:0032889]"
P00927,mitochondrion [GO:0005739]; L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; pyridoxal phosphate binding [GO:0030170]; isoleucine biosynthetic process [GO:0009097]; L-serine catabolic process [GO:0006565]; threonine catabolic process [GO:0006567]
P00937,anthranilate synthase complex [GO:0005950]; cytoplasm [GO:0005737]; anthranilate synthase activity [GO:0004049]; indole-3-glycerol-phosphate synthase activity [GO:0004425]; glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]
P00942,cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096]
P00950,"cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]; phosphoglycerate mutase activity [GO:0004619]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]"
P00958,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; methionyl glutamyl tRNA synthetase complex [GO:0017102]; ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; glutamyl-tRNA aminoacylation [GO:0006424]; methionyl-tRNA aminoacylation [GO:0006431]
P01094,cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; vacuole [GO:0005773]; aspartic-type endopeptidase inhibitor activity [GO:0019828]; endopeptidase inhibitor activity [GO:0004866]; protease binding [GO:0002020]; negative regulation of endopeptidase activity [GO:0010951]; protein catabolic process in the vacuole [GO:0007039]
P01097,mitochondrion [GO:0005739]; ATPase inhibitor activity [GO:0042030]; enzyme inhibitor activity [GO:0004857]; molecular function inhibitor activity [GO:0140678]; negative regulation of ATP-dependent activity [GO:0032780]
P01119,cell periphery [GO:0071944]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; positive regulation of adenylate cyclase activity [GO:0045762]; protein localization to bud neck [GO:0097271]
P01120,cell periphery [GO:0071944]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ascospore formation [GO:0030437]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; macroautophagy [GO:0016236]; positive regulation of pseudohyphal growth [GO:2000222]; positive regulation of transcription by galactose [GO:0000411]; protein localization to bud neck [GO:0097271]; regulation of cytoplasmic mRNA processing body assembly [GO:0010603]; regulation of protein localization [GO:0032880]; signal transduction [GO:0007165]
P01123,"cis-Golgi network [GO:0005801]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; mitochondrion [GO:0005739]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; SNARE binding [GO:0000149]; autophagosome assembly [GO:0000045]; COPII-coated vesicle budding [GO:0090114]; cytoplasm to vacuole transport by the Cvt pathway [GO:0032258]; early endosome to Golgi transport [GO:0034498]; endocytic recycling [GO:0032456]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi vesicle budding [GO:0048194]; Golgi vesicle docking [GO:0048211]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; pre-mRNA catabolic process [GO:1990261]; protein localization to phagophore assembly site [GO:0034497]; regulation of endoplasmic reticulum unfolded protein response [GO:1900101]; reticulophagy [GO:0061709]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; SNARE complex assembly [GO:0035493]; SNARE complex disassembly [GO:0035494]"
P02293,nucleosome [GO:0000786]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]; chromatin organization [GO:0006325]; negative regulation of transcription by RNA polymerase II [GO:0000122]; postreplication repair [GO:0006301]; regulation of DNA-templated transcription [GO:0006355]
P02294,nucleosome [GO:0000786]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]; chromatin organization [GO:0006325]; regulation of DNA-templated transcription [GO:0006355]
P02309,nucleosome [GO:0000786]; nucleus [GO:0005634]; replication fork protection complex [GO:0031298]; RNA polymerase I upstream activating factor complex [GO:0000500]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]; chromatin organization [GO:0006325]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; nucleosome assembly [GO:0006334]; positive regulation of transcription by RNA polymerase I [GO:0045943]; regulation of DNA-templated transcription [GO:0006355]
P02400,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; fungal-type vacuole [GO:0000324]; molecular function inhibitor activity [GO:0140678]; protein kinase activator activity [GO:0030295]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; cytoplasmic translational elongation [GO:0002182]
P02406,cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]
P02557,cytoplasm [GO:0005737]; microtubule [GO:0005874]; tubulin complex [GO:0045298]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; structural constituent of cytoskeleton [GO:0005200]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton organization [GO:0007010]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly [GO:0090307]; mitotic spindle elongation [GO:0000022]; positive regulation of intracellular protein transport [GO:0090316]; response to antibiotic [GO:0046677]
P02829,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]; 'de novo' protein folding [GO:0006458]; box C/D snoRNP assembly [GO:0000492]; cellular response to heat [GO:0034605]; positive regulation of telomere maintenance via telomerase [GO:0032212]; proteasome assembly [GO:0043248]; protein folding [GO:0006457]; protein maturation [GO:0051604]; protein refolding [GO:0042026]; protein stabilization [GO:0050821]; protein targeting to mitochondrion [GO:0006626]; regulation of telomere maintenance [GO:0032204]; response to osmotic stress [GO:0006970]; response to oxygen levels [GO:0070482]
